treeno,species,x,y,dbh,ht,cw
570,12,18.463,44.313,13.7,11.1,21.9
571,2,19.268,45.019,4.7,5.1,18.5
572,2,19.131,46.456,5.7,5.8,19.3
573,12,15.807,45.202,15.2,11.7,22
574,2,15.372,45.408,3.3,3.9,17
575,2,15.31,48.753,5.1,5.4,18.6
576,9,17.544,48.498,4.8,5.8,19.2
577,2,18.699,47.939,7.3,7,20.2
578,12,20.517,45.792,12.3,10.5,22.3
579,12,20.221,45.228,33.4,16.1,28.7
580,12,22.537,42.741,24,14.4,25.9
581,2,23.572,43.259,8,7.5,20.6
582,9,22.811,44.758,6.2,6.9,20.2
583,12,23.101,47.019,21.7,13.8,26.4
584,2,23.956,48.288,7.4,7.1,21.7
585,2,26.651,47.738,8.6,8,22.7
586,2,27.736,45.227,6.6,6.5,21.5
587,12,29.172,43.839,22.3,13.9,27.3
588,2,28.449,43.495,8.2,7.7,22
589,2,26.434,41.65,8,7.5,20.9
590,2,29.303,41.506,8.3,7.7,21.7
591,12,30,41.808,22.3,13.9,27
592,12,33.028,40.644,20.3,13.4,26.8
593,2,37.311,40.391,7.3,7,23
594,2,34.269,42.388,3.3,3.9,21
